name,Stark_set,exclude,reason_exclude,,
/Set C/145a.jpg,C,0,NaN,,
/Set C/146a.jpg,C,1,word,,
/Set C/147a.jpg,C,1,word,,
/Set C/148a.jpg,C,0,NaN,,
/Set C/149a.jpg,C,0,NaN,,
/Set C/150a.jpg,C,0,NaN,,
/Set C/151a.jpg,C,1,word,,
/Set C/152a.jpg,C,0,NaN,,
/Set C/153a.jpg,C,0,NaN,,
/Set C/154a.jpg,C,0,NaN,,
/Set C/155a.jpg,C,0,NaN,,
/Set C/156a.jpg,C,1,word,,
/Set C/157a.jpg,C,0,NaN,,
/Set C/158a.jpg,C,0,NaN,,
/Set C/159a.jpg,C,0,NaN,,
/Set C/160a.jpg,C,1,word,,
/Set C/161a.jpg,C,0,NaN,,
/Set C/162a.jpg,C,0,NaN,,
/Set C/163a.jpg,C,1,word,,
/Set C/164a.jpg,C,0,NaN,,
/Set C/165a.jpg,C,1,word,,
/Set C/166a.jpg,C,0,NaN,,
/Set C/167a.jpg,C,0,NaN,,
/Set C/168a.jpg,C,1,word,,
/Set C/169a.jpg,C,0,NaN,,
/Set C/170a.jpg,C,1,word,,
/Set C/171a.jpg,C,1,word,,
/Set C/172a.jpg,C,0,NaN,,
/Set C/173a.jpg,C,0,NaN,,
/Set C/174a.jpg,C,0,NaN,,
/Set C/175a.jpg,C,0,NaN,,
/Set C/176a.jpg,C,1,sceny,,
/Set C/177a.jpg,C,0,NaN,,
/Set C/178a.jpg,C,0,NaN,,
/Set C/179a.jpg,C,0,NaN,,
/Set C/180a.jpg,C,0,NaN,,
/Set C/181a.jpg,C,0,NaN,,
/Set C/182a.jpg,C,1,word,,
/Set C/183a.jpg,C,0,NaN,,
/Set C/184a.jpg,C,1,word,,
/Set C/185a.jpg,C,0,NaN,,
/Set C/186a.jpg,C,0,NaN,,
/Set C/187a.jpg,C,1,word,,
/Set C/188a.jpg,C,0,NaN,,
/Set C/189a.jpg,C,0,NaN,,
/Set C/190a.jpg,C,0,NaN,,
/Set C/191a.jpg,C,0,NaN,,
/Set C/192a.jpg,C,0,NaN,,
/Set D/001a.jpg,D,0,NaN,,
/Set D/002a.jpg,D,0,NaN,,
/Set D/003a.jpg,D,0,NaN,,
/Set D/004a.jpg,D,0,NaN,,
/Set D/005a.jpg,D,1,animal,,
/Set D/006a.jpg,D,0,NaN,,
/Set D/007a.jpg,D,0,NaN,,
/Set D/008a.jpg,D,0,NaN,,
/Set D/009a.jpg,D,0,NaN,,
/Set D/010a.jpg,D,1,word,,
/Set D/011a.jpg,D,0,NaN,,
/Set D/012a.jpg,D,0,NaN,,
/Set D/013a.jpg,D,1,word,,
/Set D/014a.jpg,D,1,animal,,
/Set D/015a.jpg,D,1,animal,,
/Set D/016a.jpg,D,1,hard-to-understand,,
/Set D/017a.jpg,D,0,NaN,,
